"product_id","brand","product_line","product_class","product_size","list_price","standard_cost"
14,Trek Bicycles,Standard,medium,small,1386.84,1234.29
28,Norco Bicycles,Standard,medium,small,1216.14,1082.36
0,Solex,Standard,medium,medium,71.49,53.62
5,Giant Bicycles,Standard,high,medium,1129.13,677.48
22,WeareA2B,Standard,medium,medium,60.34,45.26
0,OHM Cycles,Standard,high,medium,227.88,136.73
12,WeareA2B,Standard,medium,medium,1231.15,161.6
53,OHM Cycles,Standard,medium,medium,795.34,101.58
7,Giant Bicycles,Standard,medium,small,1311.44,1167.18
6,OHM Cycles,Standard,high,medium,227.88,136.73
0,Giant Bicycles,Standard,medium,large,569.56,528.43
18,Norco Bicycles,Standard,high,medium,1148.64,689.18
87,OHM Cycles,Standard,medium,medium,1636.9,44.71
6,Solex,Standard,high,medium,748.17,448.9
84,Trek Bicycles,Road,medium,medium,290.62,215.14
0,WeareA2B,Standard,medium,small,175.89,131.92
48,WeareA2B,Standard,medium,medium,1762.96,950.52
91,WeareA2B,Standard,low,medium,642.31,513.85
97,OHM Cycles,Road,medium,medium,742.54,667.4
82,Norco Bicycles,Standard,high,medium,1148.64,689.18
87,Giant Bicycles,Standard,high,medium,1179.0,707.4
28,Solex,Road,medium,small,1703.52,1516.13
62,Solex,Standard,medium,medium,478.16,298.72
60,Giant Bicycles,Standard,high,small,1977.36,1759.85
72,Norco Bicycles,Standard,medium,medium,360.4,270.3
95,Giant Bicycles,Standard,medium,large,569.56,528.43
66,Solex,Standard,medium,medium,1163.89,589.27
86,Norco Bicycles,Road,high,large,774.53,464.72
100,Norco Bicycles,Road,medium,medium,1036.59,206.35
90,Solex,Standard,low,medium,945.04,507.58
26,WeareA2B,Standard,medium,medium,1992.93,762.63
88,Norco Bicycles,Standard,medium,medium,1198.46,381.1
3,Trek Bicycles,Standard,medium,large,2091.47,388.92
83,Solex,Touring,medium,large,2083.94,675.03
27,Trek Bicycles,Standard,low,medium,1057.51,154.4
97,Solex,Standard,medium,large,202.62,151.96
33,OHM Cycles,Road,medium,small,1810.0,1610.9
38,Solex,Standard,medium,medium,1577.53,826.51
93,OHM Cycles,Standard,high,medium,1458.17,874.9
23,Norco Bicycles,Mountain,low,small,688.63,612.88
64,Giant Bicycles,Standard,high,small,1977.36,1759.85
34,WeareA2B,Standard,medium,medium,1231.15,161.6
55,Trek Bicycles,Road,medium,large,1894.19,598.76
94,Giant Bicycles,Standard,medium,large,1635.3,993.66
98,Trek Bicycles,Standard,high,medium,358.39,215.03
10,WeareA2B,Touring,medium,medium,1466.68,363.25
59,Solex,Standard,medium,large,1061.56,733.58
81,Solex,Standard,medium,medium,1151.96,649.49
33,Giant Bicycles,Standard,medium,small,1311.44,1167.18
7,Trek Bicycles,Road,low,medium,980.37,234.43
99,Trek Bicycles,Road,low,small,1720.7,1531.42
15,WeareA2B,Standard,medium,medium,1292.84,13.44
18,Solex,Standard,medium,medium,575.27,431.45
50,WeareA2B,Standard,medium,small,175.89,131.92
23,Norco Bicycles,Standard,medium,medium,1198.46,381.1
